unique_id;package_name;vendor;version;collect_date
0b6fecddf980f796e70c9cfefebef3a03d5a484d;TensorFlowLiteObjC;Google Inc.;0.0.1-nightly.20210711;1638716400000
0001bea52bbf1421a6a32d066559916448363ebb;LPDMvvmKit;[foxsofter@gmail.com];0.8.6;1638716400000
00f2a29b5908f13a2d38597439735464543a9f55;AmplifyPlugins;[amazonwebservices];1.5.5-unstable.2;1638716400000
060ed45f0ebb03d1c998bb83349d3c1559932b21;TensorFlowLiteObjC;Google Inc.;0.0.1-nightly.20210806;1638716400000
05a11be4ab07a6242d5ce007deea5a2260280b65;TensorFlowLiteObjC;Google Inc.;0.0.1-nightly.20210605;1638716400000
0b6c77ea14e603242ac60216ce3b5859402039a0;TensorFlowLiteSwift;Google Inc.;0.0.1-nightly.20210802;1638716400000
031f6f4498e20395ba878d7ac9e6d7599adec322;JRPodPrivate;[578433100@qq.com];1.4.4;1638716400000
00137668fc6fd0d7dbc35b950666879a866daf5b;MiCard;[sara54438@hotmail.com];1.0.6;1641481200000
031281424aa7fbfdec2c810a31df613a756ef287;JRPodPrivate;[578433100@qq.com];1.5.8;1641481200000
000bc2a119cbeeba6422ed3c112b511b215a6158;Amplify;[amazonwebservices];1.18.2-unstable.2;1641481200000
000e3caa63dc17d365bcafc1ea300278c7aa8b44;FirebaseInstanceID;Google, Inc.;4.8.0;1641481200000
01c1bb22826b285461dcd22e273c94820f707432;AmplifyPlugins;[amazonwebservices];1.27.1-unstable.0;1657983600000
